Name,Conference,Division,State,Links
Abilene Christian University,Western Athletic Conference,I-FCS,TX,"www.acu.edu
www.acusport.com"
Academy of Art University,Pacific West Conference,II,CA,"www.academyart.edu
www.artuathletics.com"
Adams State University,Rocky Mountain Athletic Conference,II,CO,"www.adams.edu
www.asugrizzlies.com"
Adelphi University,Northeast-10 Conference,II,NY,"www.adelphi.edu
www.aupanthers.com"
Adrian College,Michigan Intercol. Ath. Assn.,III,MI,"www.adrian.edu
www.adrianbulldogs.com"
Agnes Scott College,USA South Athletic Conference,III,GA,"www.agnesscott.edu
www.ascscotties.com"
Alabama A&M University,Southwestern Athletic Conf.,I-FCS,AL,"www.aamu.edu
www.aamusports.com"
Alabama State University,Southwestern Athletic Conf.,I-FCS,AL,"www.alasu.edu
www.bamastatesports.com"
Albany State University (Georgia),Southern Intercol. Ath. Conf.,II,GA,"www.asurams.edu
www.asugoldenrams.com"
Albertus Magnus College,Great Northeast Athletic Conference,III,CT,"www.albertus.edu
www.albertusfalcons.com"
Albion College,Michigan Intercol. Ath. Assn.,III,MI,"www.albion.edu
www.gobrits.com"
Albright College,Middle Atlantic Conferences,III,PA,"www.albright.edu
www.albrightathletics.com"
Alcorn State University,Southwestern Athletic Conf.,I-FCS,MS,"www.alcorn.edu
www.alcornsports.com"
Alderson Broaddus University,Mountain East Conference,II,WV,"www.ab.edu
www.gobattlers.com"
Alfred State College,Allegheny Mountain Collegiate Conference,III,NY,"www.alfredstate.edu
www.alfredstateathletics.com"
Alfred University,Empire 8,III,NY,"www.alfred.edu
www.gosaxons.com"
Allegheny College,North Coast Athletic Conference,III,PA,"www.allegheny.edu
www.alleghenygators.com"
Alma College,Michigan Intercol. Ath. Assn.,III,MI,"www.alma.edu
www.almascots.com"
Alvernia University,Middle Atlantic Conferences,III,PA,"www.alvernia.edu
athletics.alvernia.edu"
Alverno College,Northern Athletics Collegiate Conference,III,WI,"www.alverno.edu
athletics.alverno.edu/"
American International College,Northeast-10 Conference,II,MA,"aic.edu
aicyellowjackets.com"
American University,Patriot League,I,DC,"american.edu
www.aueagles.com"
Amherst College,New England Small College Athletic Conference,III,MA,"www.amherst.edu
athletics.amherst.edu/landing/index"
Anderson University (Indiana),Heartland Collegiate Athletic Conference,III,IN,"www.anderson.edu
athletics.anderson.edu"
Anderson University (South Carolina),South Atlantic Conference,II,SC,"www.andersonuniversity.edu
www.autrojans.com"
Angelo State University,Lone Star Conference,II,TX,"www.angelo.edu
www.angelosports.com"
Anna Maria College,Great Northeast Athletic Conference,III,MA,"www.annamaria.edu
goamcats.com/landing/index"
Appalachian State University,Sun Belt Conference,I-FBS,NC,"www.appstate.edu
appstatesports.com"
Arcadia University,Middle Atlantic Conferences,III,PA,"www.arcadia.edu
www.arcadiaknights.com/"
Arizona State University,Pac-12 Conference,I-FBS,AZ,"asu.edu
thesundevils.com"
Arkansas State University,Sun Belt Conference,I-FBS,AR,"www.astate.edu
www.astateredwolves.com"
Arkansas Tech University,Great American Conference,II,AR,"www.atu.edu
www.arkansastechsports.com/"
Ashland University,Great Midwest Athletic Conference,II,OH,"www.ashland.edu
www.goashlandeagles.com"
Assumption University,Northeast-10 Conference,II,MA,"www.assumption.edu
www.assumptiongreyhounds.com"
Auburn University,Southeastern Conference,I-FBS,AL,"www.auburn.edu
www.auburntigers.com"
Auburn University at Montgomery,Gulf South Conference,II,AL,"www.aum.edu
www.aumathletics.com"
Augsburg University,Minnesota Intercollegiate Athletic Conference,III,MN,"www.augsburg.edu
athletics.augsburg.edu"
Augusta University,Peach Belt Conference,II,GA,"www.augusta.edu
www.augustajags.com"
Augustana College (Illinois),College Conference of Illinois & Wisconsin,III,IL,"www.augustana.edu
www.athletics.augustana.edu/"
Augustana University (South Dakota),Northern Sun Intercollegiate Conference,II,SD,"www.augie.edu
www.goaugie.com"
Aurora University,Northern Athletics Collegiate Conference,III,IL,"www.aurora.edu
athletics.aurora.edu"
Austin College,Southern Collegiate Athletic Conference,III,TX,"www.austincollege.edu
www.acroos.com"
Austin Peay State University,Ohio Valley Conference,I-FCS,TN,"www.apsu.edu
www.letsgopeay.com"
Averett University,USA South Athletic Conference,III,VA,"www.averett.edu
www.averettcougars.com"
Azusa Pacific University,Pacific West Conference,II,CA,"www.apu.edu
athletics.apu.edu"
Babson College,New England Women's and Men's Athletic Conference,III,MA,"www.babson.edu
www.babsonathletics.com"
Baldwin Wallace University,Ohio Athletic Conference,III,OH,"www.bw.edu
www.bwyellowjackets.com/landing/index"
Ball State University,Mid-American Conference,I-FBS,IN,"www.bsu.edu
www.ballstatesports.com"
Bard College,Liberty League,III,NY,"www.bard.edu
www.bardathletics.com"
Barry University,Sunshine State Conference,II,FL,"www.barry.edu
Www.GoBarryBucs.com"
Barton College,Conference Carolinas,II,NC,"www.barton.edu
www.bartonbulldogs.com"
Baruch College,City University of New York Athletic Conference,III,NY,"www.baruch.cuny.edu
www.baruchathletics.com"
Bates College,New England Small College Athletic Conference,III,ME,"www.bates.edu
www.gobatesbobcats.com"
Baylor University,Big 12 Conference,I-FBS,TX,"www.baylor.edu
www.baylorbears.com"
Belhaven University,American Southwest Conference,III,MS,"www.belhaven.edu
blazers.belhaven.edu"
Bellarmine University,ASUN Conference,II,KY,"www.bellarmine.edu
www.athletics.bellarmine.edu"
Belmont Abbey College,Conference Carolinas,II,NC,"www.bac.edu
www.abbeyathletics.com"
Belmont University,Ohio Valley Conference,I,TN,"www.belmont.edu
www.belmontbruins.com"
Beloit College,Midwest Conference,III,WI,"www.beloit.edu
www.beloit.edu/bucs/"
Bemidji State University,Northern Sun Intercollegiate Conference,II,MN,"https://www.bemidjistate.edu/
https://www.bsubeavers.com/"
Benedict College,Southern Intercol. Ath. Conf.,II,SC,"www.benedict.edu
benedicttigers.com"
Benedictine University (Illinois),Northern Athletics Collegiate Conference,III,IL,"www.ben.edu
www.benueagles.com"
Bentley University,Northeast-10 Conference,II,MA,"www.bentley.edu
www.bentley.edu/athletics"
Berea College,USA South Athletic Conference,III,KY,"www.berea.edu
www.bereaathletics.com"
Berry College,Southern Athletic Association,III,GA,"www.berry.edu
www.berryvikings.com"
Bethany College (West Virginia),Presidents' Athletic Conference,III,WV,"www.bethanywv.edu
bethanybison.com"
Bethany Lutheran College,Upper Midwest Athletic Conference,III,MN,"www.blc.edu
www.blcvikings.com"
Bethel University (Minnesota),Minnesota Intercollegiate Athletic Conference,III,MN,"www.bethel.edu
athletics.bethel.edu/"
Bethune-Cookman University,Southwestern Athletic Conf.,I-FCS,FL,"www.cookman.edu
www.bcuathetics.com"
Binghamton University,America East Conference,I,NY,"www.binghamton.edu
www.bubearcats.com"
Biola University,Pacific West Conference,II,CA,"www.biola.edu
athletics.biola.edu"
Birmingham-Southern College,Southern Athletic Association,III,AL,"www.bsc.edu
www.bscsports.net"
Black Hills State University,Rocky Mountain Athletic Conference,II,SD,"www.bhsu.edu
bhsuathletics.com/"
Blackburn College,St. Louis Intercollegiate Athletic Conference,III,IL,"www.blackburn.edu
blackburnbeavers.com"
Bloomfield College,Central Atlantic Collegiate Conference,II,NJ,"www.bloomfield.edu
www.bcbearsathletics.com"
Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.bloomu.edu
www.buhuskies.com"
Bluefield State College,,II,WV,"bluefieldstate.edu
gobstate.com"
Bluffton University,Heartland Collegiate Athletic Conference,III,OH,"www.bluffton.edu
www.blufftonbeavers.com"
Boise State University,Mountain West Conference,I-FBS,ID,"www.boisestate.edu
www.broncosports.com"
Boston College,Atlantic Coast Conference,I-FBS,MA,"www.bc.edu
www.bceagles.com"
Boston University,Patriot League,I,MA,"www.bu.edu
www.goterriers.com"
Bowdoin College,New England Small College Athletic Conference,III,ME,"www.bowdoin.edu
www.bowdoin.edu/athletics/"
Bowie State University,Central Intercollegiate Athletic Association,II,MD,"www.bowiestate.edu
www.bsubulldogs.com"
Bowling Green State University,Mid-American Conference,I-FBS,OH,"www.bgsu.edu
www.bgsufalcons.com"
Bradley University,Missouri Valley Conference,I,IL,"www.bradley.edu
www.bradleybraves.com"
Brandeis University,University Athletic Association,III,MA,"www.brandeis.edu
www.brandeisjudges.com"
Brevard College,USA South Athletic Conference,III,NC,"www.brevard.edu
www.bctornados.com"
Bridgewater College (Virginia),Old Dominion Athletic Conf.,III,VA,"www.bridgewater.edu
www.bridgewatereagles.com"
Bridgewater State University,Massachusetts State Collegiate Athletic Conference,III,MA,"www.bridgew.edu
www.bsubears.com"
Brigham Young University,West Coast Conference,I-FBS,UT,"www.byu.edu
www.byucougars.com"
Brooklyn College,City University of New York Athletic Conference,III,NY,"www.brooklyn.cuny.edu
brooklyncollegeathletics.com"
Brown University,The Ivy League,I-FCS,RI,"www.brown.edu
www.brownbears.com"
Bryant University,Northeast Conference,I-FCS,RI,"www.bryant.edu
www.bryantbulldogs.com"
Bryn Athyn College,Colonial States Athletic Conference,III,PA,"www.brynathyn.edu
www.brynathynathletics.com"
Bryn Mawr College,Centennial Conference,III,PA,"www.brynmawr.edu
www.brynmawr.edu/athletics/"
Bucknell University,Patriot League,I-FCS,PA,"bucknell.edu
bucknellbison.com"
Buena Vista University,American Rivers Conference,III,IA,"www.bvu.edu
www.bvuathletics.com"
"Buffalo State, State University of New York",State University of New York Athletic Conference,III,NY,"www.buffalostate.edu
www.buffalostateathletics.com"
Butler University,Big East Conference,I-FCS,IN,"www.butler.edu
www.butlersports.com"
Cabrini University,Atlantic East Conference,III,PA,"www.cabrini.edu
www.cabriniathletics.com"
Cairn University,Colonial States Athletic Conference,III,PA,"www.cairn.edu
www.cairnhighlanders.com"
Caldwell University,Central Atlantic Collegiate Conference,II,NJ,"www.caldwell.edu/
www.caldwellathletics.com"
California Baptist University,Western Athletic Conference,II,CA,"www.calbaptist.edu
www.cbulancers.com"
California Institute of Technology,Southern California Intercollegiate Athletic Conf.,III,CA,"www.caltech.edu
www.gocaltech.com"
California Lutheran University,Southern California Intercollegiate Athletic Conf.,III,CA,"www.callutheran.edu
www.clusports.com"
California Polytechnic State University,Big West Conference,I-FCS,CA,"calpoly.edu
gopoly.com"
"California State Polytechnic University, Pomona",California Collegiate Athletic Association,II,CA,"www.cpp.edu
www.broncoathletics.com"
"California State University, Bakersfield",Big West Conference,I,CA,"www.csub.edu
www.gorunners.com"
"California State University, Chico",California Collegiate Athletic Association,II,CA,"www.csuchico.edu
www.chicowildcats.com"
"California State University, Dominguez Hills",California Collegiate Athletic Association,II,CA,"www.csudh.edu
www.gotoros.com"
